PATIENT_ID,UBE2T,PTTG1,PGR,MKI67,MIA,MAPT,KRT17,KRT14,KIF2C,ESR1,CCNE1,CENPF,CEP55,FGFR4,MMP11,SFRP1,TMEM45B,TYMS,ERBB2,BCL2,CCNB1,CDC20,NAT1,RRM2,UBE2C,ACTR3B,ANLN,BAG1,BIRC5,BLVRA,CDC6,CDH3,CXXC5,EGFR,EXO1,FOXA1,FOXC1,GPR160,GRB7,KRT5,MDM2,MELK,MLPH,MYBL2,MYC,PHGDH,SLC39A6,NUF2,ORC6,NDC80
TCGA-LD-A7W5,169.6056,204.5527,101.6351,991.0228,46.2231,3484.1295,1840.6541,3101.6351,355.5627,18545.3671,49.6954,689.3235,135.6204,72.1385,6672.3309,1416.159,134.3379,353.7672,4996.7938,2816.9285,460.0834,458.1597,1825.5851,538.3136,250.7214,237.8968,230.8432,2776.4668,121.5742,1428.9836,124.3988,782.6226,1355.8833,130.8112,95.5434,6471.3049,135.6204,538.6342,885.8609,2932.3501,1826.8676,252.6451,6756.3322,827.1882,2036.8708,284.7066,4413.5941,149.0862,60.2757,135.6204
TCGA-LD-A7W6,268.9838,319.9849,2207.0835,1473.3661,63.5927,4134.4919,3448.4322,2876.0861,429.1651,10298.0733,14.3559,1585.9464,256.8946,25.3117,2244.4277,2079.3351,37.4008,544.6165,8974.6883,1911.598,797.8844,585.5686,6042.3121,712.8825,321.1182,263.6947,474.8772,1781.1787,173.1167,1523.2338,307.5179,824.3294,1032.8674,304.8734,153.3812,8547.79,196.071,1336.2297,850.0189,4423.8761,1552.7012,186.6264,13949.3767,345.6743,3874.575,884.3974,16500.9445,220.2493,59.3124,218.3604
TCGA-LD-A9QF,249.6329,326.4807,66.5688,1673.5193,50.2154,83.211,3210.9643,2560.9398,384.7283,155.164,101.3216,1022.5159,371.5125,425.8443,10970.1419,1183.0641,230.5433,459.2903,186563.3872,413.6074,662.7509,424.8654,135.0954,963.7788,342.6334,208.0274,578.5609,1829.2609,200.2398,1231.5223,1009.3,988.2526,763.583,612.8194,108.6637,3119.9217,354.8703,593.2452,9325.5017,2498.2868,1718.5512,275.5751,2989.721,619.6769,1676.4562,2073.4214,3415.5653,130.6902,126.2849,157.1219
TCGA-LL-A440,98.3415,154.3462,1948.3524,614.0512,91.2209,1273.7728,7987.999,8214.3512,147.3456,6348.8624,43.6703,786.7322,113.3428,60.005,897.4081,4059.3383,66.6722,314.7362,6300.525,1477.7898,408.034,216.6847,4767.3973,248.354,181.3484,188.349,307.0256,1166.7239,99.2316,1071.756,197.6831,808.4007,988.4157,717.6931,79.3399,2039.8367,378.6982,388.0323,463.3719,8387.3656,2545.2121,110.3425,5359.78,283.6903,4476.373,872.0727,21718.4765,78.6732,49.6708,92.0077
TCGA-LL-A441,305.4397,409.9819,243.0922,1800.2047,1004.0463,391.4036,3610.1708,2353.4598,588.2075,438.0068,103.2827,1593.6393,348.894,127.8438,582.2247,25795.7963,17.3187,422.2971,3497.4415,913.1701,554.8296,1027.4738,159.3324,620.011,1272.1404,1161.6154,473.9038,951.2462,462.3412,691.1753,304.8099,3691.4115,423.2071,547.584,299.1419,500.3542,599.5434,167.2046,367.1574,1822.8765,1492.2459,230.4967,1794.2218,2164.843,1946.9417,5481.2249,3306.9354,331.2603,205.3058,150.8305
TCGA-LL-A442,158.1818,140.7792,7349.0156,1052.2078,0.5455,4570.9091,6.2338,0.5195,170.9091,31872.4675,43.3766,635.0649,338.961,29.0909,389.0909,21.039,71.4286,484.8338,9306.4935,2494.026,399.7403,158.961,5015.8442,728.5714,171.1688,145.4545,378.1818,8284.1506,201.9273,1355.3247,910.1299,47.013,2237.1429,21.2987,139.7403,9458.4416,52.987,1020.7792,564.1558,0,2716.6234,202.8571,10367.5325,138.961,1402.3377,570.1299,17644.9351,102.5974,123.6364,157.9221
TCGA-LL-A50Y,297.5542,281.8401,3402.7525,485.1096,6.5898,3351.1595,221.0113,273.2227,263.0845,14587.2513,20.2763,697.5035,117.0954,79.5843,14673.9323,52.2114,254.974,573.3063,14588.2651,1132.9363,544.9246,476.9991,6405.2718,526.676,329.4893,209.3524,126.2197,2965.1755,251.0962,1229.7554,125.7128,57.7874,977.3159,12.1658,84.1465,8137.8786,35.9904,1073.6282,999.1129,101.8882,1076.6696,101.8882,22011.9123,179.9518,363.452,851.6031,27203.6497,301.6094,22.3039,125.7128
TCGA-LL-A5YL,914.1111,680.1266,163.7018,881.3707,189.0865,164.1384,3559.9694,2412.7469,211.2845,2834.0063,247.0807,1200.4802,330.0229,3219.4696,10002.401,324.3479,810.215,996.189,12148.8595,383.2806,948.1611,343.5556,500.2728,663.9747,674.0151,283.3133,609.4074,2058.7144,963.9332,3120.3754,247.0807,680.5631,586.7074,63.7346,362.3267,4936.3745,146.2403,1864.8914,1316.1628,698.0247,1474.1897,342.246,24666.5939,563.1343,574.4843,2209.3201,7528.5387,342.246,54.5673,288.1152
TCGA-LL-A5YM,1015.9215,2027.2577,939.4421,1134.6325,1.019,3644.886,80.4993,7.6423,522.2265,6696.7265,180.3592,925.2325,156.9227,5.6044,2731.3718,57.0628,230.2891,1183.8594,16964.9726,913.0047,964.4631,1019.9975,190.549,1801.5539,1226.3406,284.295,229.7796,9406.7202,1710.4063,4143.1665,562.9856,501.8469,623.1053,6.1139,311.8074,5009.2982,131.9577,452.4264,1349.637,124.8249,1229.3975,263.4059,24797.3507,1217.6793,1027.1303,145.7139,4863.0748,245.0643,179.8497,252.7067
TCGA-LL-A5YN,411.7032,534.4828,397.2257,1050.6792,129.6395,1129.5716,4370.4284,2745.0366,457.1578,3242.4242,218.9133,830.721,175.5486,355.7994,6935.7367,333.3333,92.999,525.4023,14495.8203,798.3281,604.4932,905.4336,1172.4138,851.0972,893.9394,246.604,161.442,1506.8234,733.3804,1894.4619,505.7471,853.7095,510.9718,20.3762,138.4535,4890.2821,59.0387,842.7377,1587.7743,1854.7544,951.9331,213.6886,10106.5831,1292.0585,1911.7032,1461.86,13057.9937,165.6217,70.0104,214.7335
TCGA-LL-A5YO,709.8995,1349.8554,20.3773,1764.0094,22.6628,96.3789,759.4658,610.2162,1106.4298,58.3781,898.8021,1575.1067,363.4862,1846.0691,21444.5821,866.3087,133.2783,1658.6259,5686.9062,481.8945,1414.8424,2109.872,213.1351,1504.0617,1255.6795,327.6883,790.307,1407.3193,398.6011,1432.4659,492.3585,1634.0355,714.8561,160.2644,348.0655,2851.7142,86.4656,1275.506,502.8225,536.4175,1007.848,701.6384,1196.1999,3314.3329,1402.1754,1347.6525,1213.2728,459.8651,251.6866,1122.9519
TCGA-LL-A5YP,467.9024,595.8409,15.3707,2401.8987,1678.4268,25.3165,15101.2658,464.7378,957.0524,33.906,398.2821,1519.4394,658.6799,416.8174,24887.8843,10285.7143,11.7541,1657.1881,3076.8535,188.0651,1033.0018,1796.5642,55.6058,1617.5407,817.3599,427.2152,809.2224,641.2613,1381.5416,529.3852,594.4846,4970.6148,281.1935,177.2107,468.3544,90.868,1305.1537,49.2767,528.0289,359.4033,933.9964,701.6275,84.0868,2493.2188,3744.575,4996.3834,2094.0325,636.9801,448.915,398.2821
TCGA-LL-A6FP,136.0887,135.4167,2.3522,97.1102,19.4892,124.328,891.4651,807.1237,75.2688,12558.8038,17.1371,300.0672,33.2661,1247.3118,2122.6478,88.0376,154.5699,113.3199,11181.7876,590.7258,504.7043,100.4704,1212.0296,144.8253,245.9677,298.3871,68.2124,4194.4724,69.0222,3353.8306,41.6667,127.6882,916.6667,2.0161,47.7151,6648.5215,31.586,2097.4462,686.828,225.4704,1325.2688,47.379,39101.8145,127.0161,321.9086,375.672,9112.2312,68.5484,55.4435,25.8737
TCGA-LL-A6FQ,258.5963,907.2068,242.5813,637.3057,36.2129,4639.1898,1076.3071,1346.6792,399.4348,12629.7692,75.8361,317.0042,162.9769,18.8413,12971.2671,90.9091,512.0113,320.8573,17244.4654,912.3881,1040.9797,657.089,8074.423,582.666,703.7211,269.4301,124.3523,2899.5007,470.9515,3819.5949,204.4277,176.6368,1276.4955,10.3627,77.2492,6141.7805,56.9948,937.8238,772.9628,372.1149,1442.7697,102.2138,13208.1959,484.2204,442.2986,4666.0386,10907.6778,116.3448,75.365,220.9138
TCGA-LL-A6FR,1045.6173,1677.0979,13.7008,2079.4021,2771.7764,78.468,112328.1955,67825.6267,1158.96,69.7493,556.7492,1735.0148,444.0293,107.1151,45429.8614,4713.6852,17.4373,1432.4895,8075.977,108.3606,1122.8398,3309.357,32.3836,972.7542,825.7823,1099.1748,723.6494,4255.6562,2701.068,992.0598,313.2493,4539.9346,170.6368,120.8158,350.615,28.0243,1073.0188,140.7442,1821.5787,16016.8146,811.4588,348.7467,1217.4996,1412.4241,1073.6416,13558.1504,1220.6134,638.9538,150.7084,557.3719
TCGA-LL-A73Y,229.7555,349.7228,57.8024,1572.2985,6558.9203,28.7194,6340.0891,26629.4647,575.843,47.6234,143.2337,2478.9603,372.2621,69.4356,14479.3238,60796.51,14.905,419.791,3893.1201,644.915,704.1716,515.1322,70.8898,424.975,440.9706,513.3146,750.3408,1559.9418,435.9466,468.2359,153.7762,1596.6555,389.3484,956.0665,189.0394,57.0753,2839.5892,136.69,743.4336,364.9914,1429.7919,212.6693,179.5874,673.6345,1421.067,961.5559,2199.4002,207.2162,147.9596,159.9564
TCGA-LL-A73Z,591.3682,511.0193,650.6612,851.2397,527.3554,1011.9376,5093.6639,13116.6208,421.0285,1932.0478,106.5197,1148.7603,323.2323,748.8522,17419.6511,7774.1047,382.0018,1094.9174,5793.3884,939.8531,973.3701,1418.2736,528.4665,1115.2433,665.2893,196.5106,495.4086,1937.2222,260.5234,1240.5877,291.0927,2285.5831,615.2433,248.393,164.8301,3544.5363,392.562,457.3003,743.8017,10553.2599,1092.2865,786.0422,4908.6318,1015.6107,1550.9642,2359.9633,4842.9752,344.8118,190.0826,483.0119
TCGA-LL-A740,194.9939,176.0194,34.7194,844.1663,79.9031,348.0016,3557.5293,1761.8086,247.4768,77.1094,61.3646,531.2878,211.1425,332.6605,16661.6875,596.2858,2677.8361,671.8853,14338.7162,192.9754,677.8361,324.5862,129.1885,806.2172,182.0751,131.6108,641.5018,894.134,120.9487,2316.5119,345.1756,1000,336.6976,1580.5168,108.1954,4297.9411,130.3997,1001.6149,468.3084,2527.2507,2305.6116,246.6694,4473.153,728.7041,715.3815,248.2842,5036.738,79.9354,177.2305,116.2697
TCGA-LL-A7SZ,1161.6725,1400.6969,645.6307,2068.9895,55.3519,1310.1045,1567.9443,863.4146,1062.7178,2703.8328,78.0488,1337.2822,278.7456,468.2927,12131.7073,142.1603,310.1045,1332.6132,3259.2334,663.4146,1703.1359,1514.2857,430.662,562.3693,933.101,170.7317,951.2195,1490.3484,975.2474,4126.1324,536.5854,793.7282,676.6551,11.1498,220.9059,3357.4913,49.4774,117.77,524.0418,696.8641,1233.4495,250.1742,16428.5714,2009.7561,2376.3066,4140.7666,2588.1533,302.439,404.878,335.8885
TCGA-LL-A7T0,712.3352,785.7815,27.307,2629.9435,60.4614,175.1412,1319.209,1838.9831,965.1601,10559.322,132.2976,2065.9134,633.2392,922.7872,12314.9718,423.7288,79.096,833.0556,13663.371,2977.8719,1349.8117,1493.4087,64.0301,1375.7062,1603.1073,228.3427,670.904,989.2655,893.3286,3235.8757,1088.9831,469.8682,2884.1808,41.4313,283.8983,5931.7326,96.9868,1100.2825,1146.4218,966.1017,2883.2392,476.9303,6519.774,2375.2354,4095.5744,1050.3766,59735.4049,377.5895,265.5367,251.4124
TCGA-LL-A8F5,774.3966,3032.0042,12.5918,1831.0598,4914.9056,146.3799,31365.1626,146421.8258,1869.3599,320.5666,525.1836,1914.4806,751.8363,321.0913,3451.2067,3410.808,2.0986,1838.7251,2720.8814,118.0483,2060.8604,3786.9885,49.8426,1243.9664,3325.8132,642.7072,814.7954,971.873,2366.915,1089.7167,705.6663,9018.8877,1050.3673,572.4029,418.6779,7.8699,3650.0525,125.9182,269.1501,73225.0787,754.9843,1248.6884,402.4134,2649.0031,3575.0262,7862.5393,1931.7943,887.723,551.9412,1413.4313
TCGA-LL-A9Q3,248.7097,266.908,25.2754,458.4953,32.9793,3421.2748,1172.7774,537.86,132.443,12090.7285,57.1223,569.707,99.585,1932.0497,33486.8391,175.9166,272.9741,225.8254,12905.6066,1515.5115,581.3336,255.2813,1292.0772,355.3718,413.5051,269.941,126.8824,21058.1536,272.6657,1273.3734,190.5763,221.9178,1395.7062,9.6046,70.7711,9325.0969,94.0244,753.2062,390.7573,782.0201,850.7691,101.1015,29768.3259,334.1405,1877.9604,287.6338,30703.5148,72.7931,41.9571,79.3647
TCGA-LQ-A4E4,466.8032,398.9771,98.2481,1702.1361,1.4962,5424.5927,55.3581,117.1995,554.5782,26851.1603,76.3044,2871.1391,223.4272,316.1894,192.5065,396.9822,274.2968,315.3366,6846.9461,1063.7728,1107.1615,739.1051,7184.0818,1735.0518,767.0335,243.8748,806.4325,1581.3109,352.4015,1352.0337,207.9668,146.6241,848.3251,145.6217,352.596,11637.1652,70.3197,1405.8956,246.8671,73.312,1990.8958,421.4196,30325.2536,1395.9212,294.7443,3300.0395,19726.9251,208.4655,130.1663,162.5832
TCGA-MS-A51U,107.4596,149.7131,2609.8174,688.5759,106.4632,5057.3813,3817.9447,4107.4596,135.6286,3890.4538,11.9979,826.2911,133.542,39.1236,13972.8743,5679.1862,77.7256,294.0063,11582.6813,1697.4439,497.1309,214.9191,1966.0929,233.6985,222.2222,176.3172,196.1398,1219.228,87.2457,971.831,82.9421,1026.0824,1838.8106,653.6255,30.7773,7563.3803,253.5211,870.6312,573.8132,4348.4611,1384.9765,82.9421,9024.5175,171.6223,1861.2415,708.3985,8913.4064,90.7668,22.4309,82.9421
TCGA-OK-A5Q2,506.2762,304.2982,247.6949,1626.8543,123.6744,1775.5801,4149.1061,3436.2876,480.4108,5063.1419,78.3568,3258.2731,404.3362,1495.2453,2491.0612,2465.5763,183.3397,1140.3728,15803.3473,1133.8912,876.7592,556.105,979.8402,896.1582,503.2332,184.8612,588.817,1405.1731,360.3157,866.4892,560.6695,868.7714,1659.5664,134.652,341.9551,7749.7147,256.7516,895.7779,1502.8528,3077.596,1250.6657,252.9479,13410.8026,684.2906,2218.7143,1864.2069,11014.8345,384.1765,73.0316,254.4694
